n,en,he,ref
0,Bereshit,בראשית,Genesis 1:1-6:8
1,Noach,נח,Genesis 6:9-11:32
2,Lech-Lecha,לך לך,Genesis 12:1-17:27
3,Vayera,וירא,Genesis 18:1-22:24
4,Chayei Sara,חיי שרה,Genesis 23:1-25:18
5,Toldot,תולדות,Genesis 25:19-28:9
6,Vayetzei,ויצא,Genesis 28:10-32:3
7,Vayishlach,וישלח,Genesis 32:4-36:43
8,Vayeshev,וישב,Genesis 37:1-40:23
9,Miketz,מקץ,Genesis 41:1-44:17
10,Vayigash,ויגש,Genesis 44:18-47:27
11,Vayechi,ויחי,Genesis 47:28-50:26
12,Shemot,שמות,Exodus 1:1-6:1
13,Vaera,וארא,Exodus 6:2-9:35
14,Bo,בא,Exodus 10:1-13:16
15,Beshalach,בשלח,Exodus 13:17-17:16
16,Yitro,יתרו,Exodus 18:1-20:23
17,Mishpatim,משפטים,Exodus 21:1-24:18
18,Terumah,תרומה,Exodus 25:1-27:19
19,Tetzaveh,תצוה,Exodus 27:20-30:10
20,Ki Tisa,כי תשא,Exodus 30:11-34:35
21,Vayakhel,ויקהל,Exodus 35:1-38:20
22,Pekudei,פקודי,Exodus 38:21-40:38
23,Vayikra,ויקרא,Leviticus 1:1-5:26
24,Tzav,צו,Leviticus 6:1-8:36
25,Shmini,שמיני,Leviticus 9:1-11:47
26,Tazria,תזריע,Leviticus 12:1-13:59
27,Metzora,מצורע,Leviticus 14:1-15:33
28,Achrei Mot,אחרי מות,Leviticus 16:1-18:30
29,Kedoshim,קדושים,Leviticus 19:1-20:27
30,Emor,אמור,Leviticus 21:1-24:23
31,Behar,בהר,Leviticus 25:1-26:2
32,Bechukotai,בחוקתי,Leviticus 26:3-27:34
33,Bamidbar,במדבר,Numbers 1:1-4:20
34,Nasso,נשא,Numbers 4:21-7:89
35,Beha'alotcha,בהעלותך,Numbers 8:1-12:16
36,Sh'lach,שלח,Numbers 13:1-15:41
37,Korach,קרח,Numbers 16:1-18:32
38,Chukat,חקת,Numbers 19:1-22:1
39,Balak,בלק,Numbers 22:2-25:9
40,Pinchas,פנחס,Numbers 25:10-30:1
41,Matot,מטות,Numbers 30:2-32:42
42,Masei,מסעי,Numbers 33:1-36:13
43,Devarim,דברים,Deuteronomy 1:1-3:22
44,Vaetchanan,ואתחנן,Deuteronomy 3:23-7:11
45,Eikev,עקב,Deuteronomy 7:12-11:25
46,Re'eh,ראה,Deuteronomy 11:26-16:17
47,Shoftim,שופטים,Deuteronomy 16:18-21:9
48,Ki Teitzei,כי תצא,Deuteronomy 21:10-25:19
49,Ki Tavo,כי תבוא,Deuteronomy 26:1-29:8
50,Nitzavim,נצבים,Deuteronomy 29:9-30:20
51,Vayeilech,וילך,Deuteronomy 31:1-30
52,Ha'Azinu,האזינו,Deuteronomy 32:1-52
53,V'Zot HaBerachah,וזאת הברכה,Deuteronomy 33:1-34:12
